"ID","Keyword","Section","Anchor","SpecLocationHref","NormativeText","ThreatAlignment","FailureIfDowngraded","WhyShouldInsufficient","VerificationMethod","ReferenceImplStatus","EvidenceNotes","TargetVersion","SourceLine"
"NORM-018","MUST","4. Core Principles (Normative) | 4.3 Local Authority","sec4","/docs/spec/v1.0.html#sec4","MUST cache essential data on user's device; users maintain local copy","Device seizure","Without a complete local copy, users become dependent on remote availability and may lose critical access during account or network disruption.","Local possession of essential data is a resilience boundary; discretionary caching creates silent gaps at time-of-need.","Inspect local storage after sync-disconnect cycles and verify essential records remain available and consistent without server reachability.","Met","Reference implementation states full local journal copy persists on device and remains available without server contact.","v1.0","543"
"NORM-019","MUST","4. Core Principles (Normative) | 4.3 Local Authority","sec4","/docs/spec/v1.0.html#sec4","MUST sync gracefully without blocking user workflow (asynchronous, eventual consistency)","Network tampering","Blocking UX on sync creates denial-of-service by unstable or adversarial networks and prevents timely user actions.","Non-blocking sync is required to preserve agency under unreliable links; optional behavior reintroduces network-coupled lockout.","Introduce packet loss/latency faults during edits and confirm writes queue locally, UI remains responsive, and eventual consistency resolves without hard failure.","Met","Reference mapping describes asynchronous queue-based sync and conflict resolution without blocking core workflows.","v1.0","544"
"NORM-020","MUST NOT","4. Core Principles (Normative) | 4.3 Local Authority","sec4","/docs/spec/v1.0.html#sec4","MUST NOT require authentication for offline access to cached user data","Institutional control","Forced online authentication for offline cache enables lockout by identity provider failure, censorship, or account coercion.","Offline access under disruption is a hard requirement; optional support permits predictable control chokepoints.","Expire server tokens, disable connectivity, and verify cached essential data remains accessible without network re-authentication.","Met","Reference implementation states offline access to cached data does not require live server authentication.","v1.0","546"
"NORM-021","MUST","4. Core Principles (Normative) | 4.3 Local Authority","sec4","/docs/spec/v1.0.html#sec4","MUST document offline vs. online feature parity and sync behavior","State surveillance","Undocumented parity/sync behavior causes users to misjudge exposure and data consistency risks across offline/online transitions.","Transparency on parity and sync semantics is necessary for informed risk decisions; vague behavior increases accidental disclosure and data loss.","Review public docs for explicit offline/online feature matrix, sync triggers, conflict rules, and data exposure differences; validate against observed behavior.","Partial","Core behavior is described in reference mapping, but a formal parity matrix and sync-state disclosure contract are not published. To reach Met: publish and version a parity/sync behavior specification.","v1.0","548"
"NORM-022","MUST","4. Core Principles (Normative) | 4.4 Coercion Resistance","sec4","/docs/spec/v1.0.html#sec4","Principle: Users MUST be able to maintain confidentiality and integrity even under physical or legal coercion.","Coercion / forced disclosure","Under detention or legal compulsion, users can be forced into plaintext disclosure with no protective operating mode, causing immediate irreversible exposure.","Coercion events are catastrophic and time-critical; optional controls leave users unprotected in the exact scenario this principle targets.","Run coercion tabletop: assume unlocked-device demand, legal demand, and account-seizure scenarios; verify available protections, what remains hidden, and what is exposed.","Not Met","Attack scenario: forced unlock and compelled disclosure. Non-coercive fallback: offline local-only mode can reduce future synchronization exposure but does not protect already visible unlocked-session content. Disclosure minimization: at-rest encryption helps only before unlock; once compelled unlock occurs, core content is exposed. To reach Met: add deniability controls and a coercion-safe operating mode that limits plaintext exposure under forced disclosure.","v1.0","577"
"NORM-023","MUST","4. Core Principles (Normative) | 4.4 Coercion Resistance","sec4","/docs/spec/v1.0.html#sec4","MUST use encryption where users hold keys; system cannot decrypt user data","Institutional control","If system operators can decrypt user data, subpoenas, insider abuse, or platform capture yield bulk plaintext disclosure.","User-held keys are a hard boundary; making it optional collapses zero-knowledge guarantees under legal or administrative pressure.","Attempt decryption from server-side backup/database using admin credentials only; verify inability to recover plaintext without user key material.","Met","Attack scenario: compelled server-side disclosure request. Non-coercive fallback: user can withhold passphrase and keep local encrypted copy. Disclosure minimization: server can provide ciphertext only.","v1.0","582"
"NORM-024","MUST","4. Core Principles (Normative) | 4.4 Coercion Resistance","sec4","/docs/spec/v1.0.html#sec4","MUST support strong passphrases (minimum 128 bits entropy; 6+ words recommended)","Device seizure","Weak passphrases allow rapid brute-force recovery after confiscation, exposing complete historical records.","Passphrase strength is not recoverable post-breach; weak defaults create permanent retrospective exposure.","Validate passphrase policy and entropy estimator enforcement; run controlled cracking tests against policy-minimum examples.","Met","Attack scenario: seized encrypted backup attacked offline. Non-coercive fallback: user can rotate to stronger passphrase and re-encrypt. Disclosure minimization: high-entropy passphrases slow extraction window.","v1.0","583"
"NORM-025","MUST","4. Core Principles (Normative) | 4.4 Coercion Resistance","sec4","/docs/spec/v1.0.html#sec4","MUST use slow key derivation (Argon2id, Scrypt; never MD5/SHA-1)","Device seizure","Fast or obsolete KDFs make offline guessing feasible, turning encrypted stores into recoverable plaintext archives.","KDF hardness is a mandatory control against commodity cracking rigs; advisory guidance is routinely bypassed for convenience.","Inspect KDF parameters in runtime configuration, benchmark derivation cost, and reject builds that permit MD5/SHA-1 credential derivation.","Met","Attack scenario: attacker runs GPU/ASIC dictionary attacks on captured ciphertext. Non-coercive fallback: increase Argon2id cost factors for high-risk profiles. Disclosure minimization: slow KDF materially limits guesses per second.","v1.0","584"
"NORM-026","MUST NOT","4. Core Principles (Normative) | 4.4 Coercion Resistance","sec4","/docs/spec/v1.0.html#sec4","MUST NOT provide administrative backdoors or master keys","Institutional control","Any admin backdoor enables unilateral mass disclosure and nullifies user security expectations.","Backdoor existence is binary; if present at all, coercive capture and insider abuse paths remain open.","Audit key-management architecture, recovery flows, and privileged APIs to prove no master decryption credential exists.","Met","Attack scenario: operator compelled to decrypt at scale. Non-coercive fallback: user-held key model blocks operator-only decryption. Disclosure minimization: operator can expose metadata or ciphertext but not plaintext.","v1.0","585"
"NORM-027","MUST","4. Core Principles (Normative) | 4.4 Coercion Resistance","sec4","/docs/spec/v1.0.html#sec4","MUST document threat model clearly: what adversaries can and cannot extract","State surveillance","Ambiguous threat boundaries produce false safety assumptions and high-risk deployment in contexts the system cannot defend.","Threat-model clarity is prerequisite for informed consent; non-mandatory disclosure leads to misuse under adversarial conditions.","Review threat-model documentation for explicit resisted/non-resisted adversaries and extraction boundaries; confirm parity with implementation behavior and audit tests.","Met","Attack scenario: user deploys in active coercion context based on incomplete claims. Non-coercive fallback: documentation directs high-risk users to avoid unsupported threat contexts. Disclosure minimization: explicit limits prevent over-claiming and reduce unsafe reliance.","v1.0","588"
"NORM-028","MUST","4. Core Principles (Normative) | 4.5 Degraded Functionality","sec4","/docs/spec/v1.0.html#sec4","Principle: Systems MUST remain usable when bandwidth, power, compute, or cognition are severely constrained.","Institutional control","When resource constraints occur, users lose essential function and are forced into external dependencies they cannot control.","Graceful degradation is a safety baseline in hostile conditions; optional support causes predictable service exclusion.","Execute constrained-resource test matrix (2G, low-memory, high-latency, reduced-input) and confirm essential workflows remain usable.","Partial","PainTracker meets core low-bandwidth/mobile behavior but has progressive enhancement and accessibility gaps under degraded contexts. To reach Met: ship full degraded-mode baseline including non-JS and accessibility-complete operation.","v1.0","617"
"NORM-029","MUST","4. Core Principles (Normative) | 4.5 Degraded Functionality","sec4","/docs/spec/v1.0.html#sec4","MUST test baseline path on 2G networks (<100KB initial HTML load)","Network tampering","Heavy initial payloads fail under weak links, preventing timely access to critical workflows.","Low-bandwidth users cannot choose better network conditions; baseline payload budget must be enforced, not aspirational.","Throttle to simulated 2G, measure initial HTML payload and first-interaction completion time, and verify budget conformance in CI performance checks.","Met","Reference mapping reports successful 2G core-path execution under simulated constrained network conditions.","v1.0","622"
"NORM-030","MUST","4. Core Principles (Normative) | 4.5 Degraded Functionality","sec4","/docs/spec/v1.0.html#sec4","MUST function on devices with <512MB RAM","Institutional control","Users on older or constrained devices are excluded from core access during high-need periods.","Device-floor compatibility is an inclusion boundary; non-mandatory support creates structural denial of service for vulnerable users.","Run memory-constrained device tests and profile runtime memory footprint during core workflows; verify stability at specified RAM floor.","Partial","Reference mapping claims low-memory support but evidence cites iPhone 6s (1GB RAM), which does not conclusively prove operation below 512MB. To reach Met: publish reproducible test evidence on <512MB target hardware/emulation.","v1.0","623"
"NORM-031","MUST","4. Core Principles (Normative) | 4.5 Degraded Functionality","sec4","/docs/spec/v1.0.html#sec4","MUST support complete keyboard-only navigation (no mouse required)","Institutional control","Users who cannot use pointer/touch input are blocked from complete task execution.","Complete keyboard operability is binary for affected users; partial compliance leaves inaccessible critical controls.","Run end-to-end keyboard-only audits across all interactive elements, including date pickers/charts, with tab order and activation checks.","Not Met","Reference mapping reports keyboard access for core forms but not complete coverage; date picker/chart interactions still require pointer input. To reach Met: implement full keyboard parity for all controls and validate with automated/manual accessibility tests.","v1.0","624"
"NORM-032","MUST","4. Core Principles (Normative) | 4.5 Degraded Functionality","sec4","/docs/spec/v1.0.html#sec4","MUST gracefully degrade features under resource constraints","Network tampering","Resource shocks cause hard failures instead of reduced-mode continuity, interrupting critical user tasks.","Degradation behavior must be deterministic; optional fallback logic leads to brittle failures in exactly the conditions this principle targets.","Inject CPU, memory, and bandwidth constraints and verify non-critical features degrade first while essential create/read/update paths remain operational.","Partial","Reference mapping indicates partial progressive enhancement and JS dependency, so degradation behavior is not complete across all contexts. To reach Met: provide robust no-JS baseline and explicit feature-priority degradation policy.","v1.0","625"
"NORM-033","MUST NOT","4. Core Principles (Normative) | 4.5 Degraded Functionality","sec4","/docs/spec/v1.0.html#sec4","MUST NOT auto-load media (user must explicitly request video/audio)","Network tampering","Automatic media fetch increases data exhaustion risk and covertly exposes users to bandwidth and tracking harms.","User-controlled media loading is a direct harm-prevention control for constrained or monitored connections.","Inspect network traces on first load and workflow navigation to confirm no media requests occur until explicit user action.","Met","Reference mapping states media/attachments are never auto-loaded and require explicit user request.","v1.0","627"
"NORM-034","MUST","4. Core Principles (Normative) | 4.5 Degraded Functionality","sec4","/docs/spec/v1.0.html#sec4","MUST meet WCAG 2.1 Level AA accessibility standards (color contrast, screen reader support)","Institutional control","Accessibility gaps systematically exclude users with assistive needs from essential functions.","WCAG AA is a minimum interoperability floor; partial accessibility leaves predictable functional denial for disabled users.","Run WCAG 2.1 AA audits (contrast, keyboard, semantics, ARIA, screen-reader flows) and verify passing results on critical workflows.","Not Met","Reference mapping explicitly reports WCAG AA gaps (chart contrast and incomplete screen-reader/date-picker support). To reach Met: remediate failing elements and publish passing WCAG audit results.","v1.0","628"
"NORM-035","MUST","4. Core Principles (Normative) | 4.6 Essential Utility","sec4","/docs/spec/v1.0.html#sec4","Principle: Systems MUST optimize for user survival and autonomy. Features MUST serve essential needs, not engagement metrics or extraction.","","","","","N/A","","v1.0","657"
"NORM-037","MUST","4. Core Principles (Normative) | 4.6 Essential Utility","sec4","/docs/spec/v1.0.html#sec4","MUST document essential use cases explicitly; justify every feature","","","","","N/A","","v1.0","662"
"NORM-038","MUST NOT","4. Core Principles (Normative) | 4.6 Essential Utility","sec4","/docs/spec/v1.0.html#sec4","MUST NOT use dark patterns (hidden friction-to-exit, manipulative notifications, deceptive confirmations)","","","","","N/A","","v1.0","663"
"NORM-039","MUST NOT","4. Core Principles (Normative) | 4.6 Essential Utility","sec4","/docs/spec/v1.0.html#sec4","MUST NOT include addictive mechanics (streaks, variable rewards, leaderboards, FOMO notifications)","","","","","N/A","","v1.0","665"
"NORM-040","MUST","4. Core Principles (Normative) | 4.6 Essential Utility","sec4","/docs/spec/v1.0.html#sec4","MUST measure success by user goal completion, not engagement time or feature adoption","","","","","N/A","","v1.0","666"
"NORM-041","MUST NOT","4. Core Principles (Normative) | 4.6 Essential Utility","sec4","/docs/spec/v1.0.html#sec4","MUST NOT require payment for essential features (accessibility tiers acceptable; never paywall core utility)","","","","","N/A","","v1.0","668"
"NORM-042","MUST","6. Compliance Levels","sec6","/docs/spec/v1.0.html#sec6","All systems claiming Protective Computing compliance MUST declare a compliance level (1–4) for each principle. A system's overall compliance is determined by its weakest principle.","","","","","N/A","","v1.0","744"
